UUID,audio_path,question
11379225,Mon_appartement_est_.mp3,Mon appartement est minuscule.
11153359,Ma_jambe_gauche_est_.mp3,Ma jambe gauche est cassée.
11489925,As_tu_ouvert_la_boît.mp3,As-tu ouvert la boîte ?
11041951,Ce_site_est_utile_.mp3,Ce site est utile.
7410873,C_est_déjà_octobre_.mp3,C'est déjà octobre.
11242195,C_est_notre_priorité.mp3,C'est notre priorité.
7744927,Je_ne_supporte_pas_l.mp3,Je ne supporte pas les lundis.
10966484,C_est_arrivé_la_sema.mp3,C'est arrivé la semaine dernière.
10357987,Tout_le_monde_a_été_.mp3,Tout le monde a été fouillé.
9978178,J_ai_dormi_par_terre.mp3,J'ai dormi par terre.
11241810,Je_peux_manger_cette.mp3,Je peux manger cette orange ?
11256714,Ce_n_est_pas_notre_t.mp3,Ce n'est pas notre train.
10136758,Ne_t_énerve_pas_comm.mp3,Ne t'énerve pas comme ça.
11054571,J_ai_plongé_dans_le_.mp3,J'ai plongé dans le lac.
11179850,À_qui_est_ce_verre__.mp3,À qui est ce verre ?
10995145,Non__je_ne_peux_pas_.mp3,"Non, je ne peux pas faire ça."
10749996,Viens_un_peu_plus_pr.mp3,Viens un peu plus près.
10511649,Ne_sois_pas_si_arrog.mp3,Ne sois pas si arrogant.
10767288,J_ai_l_habitude_du_f.mp3,J'ai l'habitude du froid.
10465776,Ce_n_est_pas_ce_que_.mp3,Ce n'est pas ce que tu crois.
10993485,Je_dois_me_faire_vie.mp3,Je dois me faire vieux.
11411263,J_ai_oublié_mon_code.mp3,J'ai oublié mon code PIN.
10601190,Ils_ont_échangé_des_.mp3,Ils ont échangé des regards.
10959693,Personne_ne_peut_le_.mp3,Personne ne peut le nier.
10511864,Ils_ne_sont_pas_comm.mp3,Ils ne sont pas comme nous.
7745886,La_nourriture_pour_c.mp3,La nourriture pour chien coûte cher.
11171484,Qui_t_a_accompagné__.mp3,Qui t'a accompagné ?
11188867,Allons_y_à_vélo_.mp3,Allons-y à vélo.
8430520,Je_ne_m_en_attribue_.mp3,Je ne m'en attribue pas le mérite.
8961185,Taisez_vous_et_assey.mp3,Taisez-vous et asseyez-vous.
11188029,Je_ne_connais_pas_ce.mp3,Je ne connais pas ce type.
746511,L_argent_ouvre_toute.mp3,L'argent ouvre toutes les portes.
10625903,Attendez_dehors__s_i.mp3,"Attendez dehors, s'il vous plaît."
11241768,Nous_n_avons_pas_bie.mp3,Nous n'avons pas bien joué.
9731217,J_ai_dépouillé_les_b.mp3,J'ai dépouillé les bulletins de vote.
10541259,Ce_vol_est_complet_.mp3,Ce vol est complet.
11229452,On_pourrait_se_relay.mp3,On pourrait se relayer.
11166853,Je_descends_bientôt_.mp3,Je descends bientôt.
10504387,Mangez_si_vous_avez_.mp3,Mangez si vous avez faim.
8987170,C_était_un_travail_é.mp3,C'était un travail éreintant.
10635657,Tout_le_monde_a_déto.mp3,Tout le monde a détourné le regard.
11179525,Tu_as_laissé_passer_.mp3,Tu as laissé passer ta chance.
8959162,J_ai_tiré_la_chasse_.mp3,J'ai tiré la chasse.
10776606,Je_ne_peux_pas_m_arr.mp3,Je ne peux pas m'arrêter de le faire.
11054426,Ne_laissez_pas_sorti.mp3,Ne laissez pas sortir le chien.
9742368,Dis_moi__je_suis_tou.mp3,"Dis-moi, je suis tout ouïe."
11230234,Je_vais_demander_à_ê.mp3,Je vais demander à être remboursé.
10496967,Les_tritons_sont_des.mp3,Les tritons sont des amphibiens.
10326277,Tu_fais_du_travail_b.mp3,Tu fais du travail bâclé.
11199455,Je_suis_libre_après_.mp3,Je suis libre après déjeuner.
11034725,Cache_le_sous_le_lit.mp3,Cache-le sous le lit.
8975385,C_est_une_vraie_bonn.mp3,C'est une vraie bonne affaire.
7410860,J_ai_gardé_un_œil_su.mp3,J'ai gardé un œil sur Tom.
10914793,C_est_quelque_chose_.mp3,C'est quelque chose de nouveau ?
10953788,Nous_n_abandonnerons.mp3,Nous n'abandonnerons jamais.
11322279,Je_partage_votre_pré.mp3,Je partage votre préoccupation.
10750025,C_est_un_problème_ép.mp3,C'est un problème épineux.
11274408,Achetez_tout_ce_que_.mp3,Achetez tout ce que vous voulez.
8944689,Tu_as_déchiré_ton_pa.mp3,Tu as déchiré ton pantalon.
10993463,Lis_moi_ton_discours.mp3,Lis-moi ton discours.
10492980,J_ai_ouvert_les_vole.mp3,J'ai ouvert les volets.
8915768,J_ai_besoin_d_un_blo.mp3,J'ai besoin d'un bloc-notes.
11323327,La_pièce_était_plein.mp3,La pièce était pleine à craquer.
11164826,Ça_ne_coûterait_pas_.mp3,Ça ne coûterait pas grand-chose.
10265997,Je_ne_le_réfute_pas_.mp3,Je ne le réfute pas.
10767766,Je_peux_tout_expliqu.mp3,Je peux tout expliquer.
11181203,Je_fais_toujours_de_.mp3,Je fais toujours de mon mieux.
10713326,Tu_manques_de_savoir.mp3,Tu manques de savoir-vivre.
10932859,Mettez_ça_sur_le_sol.mp3,Mettez ça sur le sol.
11217020,J_avais_besoin_de_re.mp3,J'avais besoin de renseignements.
11180022,Je_suis_encore_à_moi.mp3,Je suis encore à moitié endormi.
10968795,J_étais_un_peu_ivre_.mp3,J'étais un peu ivre.
10552463,Ce_service_est_gratu.mp3,Ce service est gratuit.
10246969,Épluche_ces_patates_.mp3,Épluche ces patates.
10504629,J_ai_entendu_un_chie.mp3,J'ai entendu un chien aboyer.
10779625,Le_sol_est_irrégulie.mp3,Le sol est irrégulier.
8422075,Tenez_la_porte__s_il.mp3,"Tenez la porte, s'il vous plaît."
10920755,N_agissons_pas_préci.mp3,N'agissons pas précipitamment.
9772206,J_ai_gagné_à_la_loya.mp3,J'ai gagné à la loyale.
10779617,La_tumeur_était_béni.mp3,La tumeur était bénigne.
7410834,Pourquoi_Tom_démissi.mp3,Pourquoi Tom démissionne-t-il ?
11168035,Désolé__je_ne_peux_p.mp3,"Désolé, je ne peux pas aider."
9930623,N_essaie_pas_de_m_av.mp3,N'essaie pas de m'avoir.
10503337,Les_écureuils_enterr.mp3,Les écureuils enterrent les noix.
10556316,Tu_n_aimes_pas_les_p.mp3,Tu n'aimes pas les pommes ?
10498860,J_avais_bon_appétit_.mp3,J'avais bon appétit.
11411267,J_ai_oublié_mon_code.mp3,J'ai oublié mon code confidentiel.
11153620,Quel_est_le_prix_d_u.mp3,Quel est le prix d'un billet ?
10971673,J_ai_teint_mes_cheve.mp3,J'ai teint mes cheveux en blond.
11234261,Allons_prendre_une_b.mp3,Allons prendre une bière.
11181069,J_ai_fait_l_ascensio.mp3,J'ai fait l'ascension du Mont Fuji.
7410874,Je_sais_ce_dont_Tom_.mp3,Je sais ce dont Tom a besoin.
11542513,Je_veux_juste_la_vér.mp3,Je veux juste la vérité.
11229510,L_étude_est_partiale.mp3,L'étude est partiale.
10312027,Tu_es_trop_décontrac.mp3,Tu es trop décontracté.
10603518,Cet_endroit_est_un_d.mp3,Cet endroit est un dépotoir.
9059250,Les_perspectives_son.mp3,Les perspectives sont peu réjouissantes.
10547945,J_ai_ouvert_l_envelo.mp3,J'ai ouvert l'enveloppe.
10140074,J_ai_été_innocenté_.mp3,J'ai été innocenté.
8409822,Faites_une_sauvegard.mp3,Faites une sauvegarde de tout votre travail.
10651858,C_est_une_excuse_bid.mp3,C'est une excuse bidon.
9953290,Attends_l_année_proc.mp3,Attends l'année prochaine.
10492088,Nous_n_en_avons_jama.mp3,Nous n'en avons jamais douté.
10236648,Personne_n_a_sourcil.mp3,Personne n'a sourcillé.
10940018,Personne_ne_saura_ja.mp3,Personne ne saura jamais.
9930591,Arrête_de_faire_le_m.mp3,Arrête de faire le mariole.
11181196,Ça_semble_improbable.mp3,Ça semble improbable.
11152426,Tout_le_monde_a_beso.mp3,Tout le monde a besoin d'argent.
11222477,Ce_parapluie_est_à_m.mp3,Ce parapluie est à moi.
11167455,J_adore_le_poulet_rô.mp3,J'adore le poulet rôti.
7414882,Taisez_vous__tous_le.mp3,"Taisez-vous, tous les deux !"
10759161,Nous_avons_travaillé.mp3,Nous avons travaillé jusqu'à l'aube.
7760600,Je_n_aime_pas_les_ja.mp3,Je n'aime pas les jacuzzis.
10130142,La_sécurité_est_prim.mp3,La sécurité est primordiale.
10742996,On_a_sauté_le_petit_.mp3,On a sauté le petit-déjeuner.
9695320,Tout_est_en_train_de.mp3,Tout est en train de changer.
10465897,Tu_n_as_peut_être_pa.mp3,Tu n'as peut-être pas tort.
11176199,J_ai_failli_ne_pas_v.mp3,J'ai failli ne pas venir.
8428517,Regarde_ce_qu_on_a_f.mp3,Regarde ce qu'on a fait.
10512093,J_en_ai_assez_de_lir.mp3,J'en ai assez de lire.
10899027,J_aime_quand_il_pleu.mp3,J'aime quand il pleut.
11046787,Je_ne_marche_jamais_.mp3,Je ne marche jamais pieds nus.
11489927,Je_vais_m_asseoir_su.mp3,Je vais m'asseoir sur le canapé.
