audio_path,question,response,UUID,creation_date
,(?),une étrangère au service,,
,(?),un défibrillateur,,
,(?),inquiétant,,
,(?),délaissé,,
,(?),une situation,,
,(?),à risque,,
,(?),en bon état,,
,(?),en infraction,,
,(?),par rang de priorité,,
,(?),une disposition,,
,(?),la fraude,,
,(?),muni,,
,(?),serein,,
,(?),cultiver son savoir vivre,,
,(?),une surveillance,,
,(?),un engin à roulettes,,
,(?),soumises à l’accord,,
,(?),un parcours,,
,(?),un cendrier,,
,(?),excitant,,
,(?),entretenir une relation,,
,(?),lequel,,
,(?),laquelle,,
,(?),un pair,,
,(?),taper,,
,(?),une génération,,
,(?),mitigé,,
,(?),redynamise,,
,(?),l’amitié,,
,(?),la batavia,,
,(?),la laitue,,
,(?),un nem,,
,(?),un rouleau de printemps,,
,(?),une banane non mûrie,,
,(?),un épicier,,
,(?),en caisse,,
,(?),un lot,,
,(?),les arômes,,
,(?),les colorants,,
,(?),les conservateurs,,
,(?),une remise,,
,(?),selon ta imagination,,
,(?),papillon,,
,(?),emplier,,
,(?),un coulis,,
,(?),une purée,,
,(?),la farine,,
,(?),blé,,
,(?),une poudre,,
,(?),Les principaux éléments de l’alimentation,,
,(?),un tournesol,,
,(?),la friture,,
,(?),une confiture,,
,(?),la pâtisserie,,
,(?),le mode verbose,,
,(?),verbeuse,,
,(?),l’orthographe,,
,(?),une premier étape,,
,(?),un pas,,
,(?),diriger,,
