audio_path,question,response,UUID,creation_time
,(?),propreté,,
,(?),négliger,,
,(?),mes déchets,,
,(?),dégrader,,
,(?),ralentir,,
,(?),"ceci ralentit mon ordinateur : Whatsapp, ma messagerie d’email et l’AI",,
,(?),ce n’est pas jovial,,
,(?),une fenêtre,,
,(?),nous allons le perdre,,
,(?),trembler,,
,(?),façonner,,
,(?),ancestral,,
,(?),un solécisme lexical,,
,(?),j’ai hâte,,
,(?),tout à fait,,
,(?),entièrement d’accord,,
,(?),pour votre commodité,,
,(?),vos idées m’intéressèrent,,
,(?),un fichier externe,,
,(?),un alias,,
,(?),c’est inclus,,
,(?),revenir,,
,(?),je reviens,,
,(?),anormal,,
,(?),impur,,
,(?),réviser,,
,(?),revoir,,
,(?),appeler l’ascenseur,,
,(?),merci de laisser la priorité à ceux qui en ont le plus besoin,,
,(?),merci de faciliter le passage en gardant votre droite,,
,(?),il parle des élèves de sa classe,,
,(?),j’ai vu des oiseaux,,
,(?),une tasse de café,,
,(?),un livre divin,,
,(?),désapprouver,,
,(?),gêner,,
,(?),félicitations,,
,(?),stimuler,,
,(?),garder le rythme,,
,(?),bientôt le sommet,,
,(?),au quotidien,,
,(?),"prendre les transports, c'est aussi l'occasion de faire du sport",,
,(?),et c'est reparti !,,
,(?),garder la motivation,,
,(?),sollicitez les muscles de vos jambes,,
,(?),entretenir mon cœur,,
,(?),améliorer mon souffle,,
,(?),brûler des calories,,
,(?),stimuler mon organisme,,
,(?),vous tenez le coup,,
,(?),garder le rythme,,
,(?),être en forme pour la journée,,
,(?),vous y êtes presque,,
,(?),nous sommes navrés,,
,(?),jésus nous apprend à toujours aimer,,
,(?),relâche,,
,(?),aussitôt,,
,(?),de manière révolutionnaire,,
,(?),une éponge,,
,(?),mis en place,,
,(?),un viseur,,
,(?),un projectile,,
,(?),éliminer,,
,(?),une case,,
,(?),un champ,,
,(?),un champion,,
,(?),remplir,,
,(?),sauter,,
,(?),comporter,,
,(?),en plaçant,,
,(?),déplacer,,
,(?),un pli de cartes,,
,(?),un bambou,,
,(?),ivre,,
,(?),la patience,,
,(?),le panthéon,,
,(?),l’hôtel des invalides,,
,(?),le palais du luxembourg,,
,(?),la tour montparnasse,,
,(?),la soumission,,
,(?),des centaines de milliers,,
,(?),le document ci-joint,,
,(?),je crains que le temps ne soit un peu pourri jeudi,,
,(?),quelques averses éparses,,
,(?),ça aurait été avec plaisir mais je suis déjà prise,,
,(?),chaque coup de pinceau,,
,(?),compenser,,
,(?),le progrès,,
,(?),encore un effort,,
,(?),sinueux,,
,(?),relancer,,
,(?),réanimer,,
,(?),ressusciter,,
,(?),un rechange,,
,(?),percutant,,
,(?),le laisser tomber,,
,(?),une couche,,
,(?),une expérience entière du système d'exploitation mobile,,
,(?),une petite élite,,
,(?),a abouti à,,
,(?),dégénérer en...,,
,(?),la rigueur,,
,(?),la structure,,
,(?),les squats,,
,(?),les pompes,,
,(?),les burpees,,
,(?),la vibration,,
,(?),les ingrédients,,
,(?),apparaître,,
,(?),le contexte,,
,(?),différemment,,
,(?),une manière,,
,(?),un réalisateur,,
,(?),le marché,,
,(?),humble,,
,(?),composé,,
,(?),abondant,,
,(?),infiniment,,
,(?),l’intonation,,
,(?),les attentes,,
,(?),une trace,,
,(?),tracer,,
,(?),traquer,,
,(?),distinct,,
,(?),conscient,,
,(?),une tendance à blâmer les autres,,
,(?),culpabiliser,,
,(?),nuance,,
,(?),au milieu de,,
,(?),valable,,
,(?),reconnaissance,,
,(?),le volume audio,,
,(?),nous ne savons pas,,
,(?),en douceur,,
,(?),une manière mystérieuse,,
,(?),trier,,
,(?),un dépotoir,,
,(?),une décharge,,
,(?),un demi-mètre,,
,(?),hypothèse,,
,(?),les emballages,,
